CT,Total,Aboriginal,North American ,European,Carribean,Latin,African,Oceania,Middle Eastern,South Asian,East Asian,Other Asian
0203.00,3010,40,520,2135,120,80,120,0,75,40,400,0
0204.00,4375,75,1080,3610,170,70,75,20,100,70,155,0
0206.01,3950,105,805,3020,125,145,65,0,105,125,385,0
0206.02,5640,195,1305,4200,305,385,155,0,70,185,485,0
0207.00,2310,85,420,1510,120,85,50,0,30,55,465,0
0208.00,3990,75,575,1905,640,250,505,0,170,285,415,0
0209.00,2665,20,455,1720,105,45,45,0,50,170,375,0
0210.00,7825,50,1155,5640,265,350,160,10,270,435,1010,0
0211.00,6270,125,1040,4895,130,110,50,0,60,295,580,0
0212.00,5590,145,1160,4405,110,50,65,0,60,180,450,0
0213.00,6635,45,755,4255,125,290,155,0,240,410,1180,0
0214.00,4300,55,615,3115,160,90,55,0,60,120,740,0
0215.00,6515,60,1300,4595,160,185,75,35,170,340,755,0
0216.00,5390,90,915,4370,205,160,60,20,165,220,265,0
0217.00,5780,80,630,4675,155,255,130,0,145,195,215,0
0218.00,2655,100,520,2380,45,25,35,0,35,65,115,0
0219.00,4190,15,750,3590,15,45,45,0,60,245,175,30
0220.00,4005,40,595,3270,110,50,70,0,80,65,350,0
0221.01,6360,105,995,5325,60,40,85,0,120,170,525,0
0221.02,4150,45,740,2340,115,105,20,0,490,490,555,0
0222.01,5405,60,915,3910,115,245,185,30,175,320,535,0
0222.02,4780,75,505,2775,275,190,215,0,190,530,510,0
0223.00,3740,25,620,2895,40,55,0,50,65,235,380,0
0224.00,1725,0,190,1425,25,30,0,0,0,70,225,0
0225.01,5035,70,785,3830,85,45,105,0,150,220,525,0
0225.02,7525,100,585,3370,260,310,885,0,385,995,1445,20
0226.00,3235,20,600,2775,25,20,20,15,0,45,245,0
0227.00,1745,15,370,1505,0,0,0,0,0,25,175,0
0228.00,2970,25,590,2475,70,90,30,0,60,160,220,0
0229.00,1150,20,235,1055,0,0,0,10,10,0,0,0
0230.01,2365,0,425,1905,65,45,0,0,65,20,100,0
0230.02,6050,25,515,4560,235,540,375,0,195,70,280,0
0231.00,6485,65,1200,5360,70,170,35,30,40,140,490,0
0232.00,3970,50,775,3475,50,45,30,25,90,145,150,0
0233.00,5450,55,830,3950,135,65,165,0,45,365,485,0
0234.00,4540,25,585,3290,340,130,100,0,55,125,485,0
0235.01,2810,35,595,1980,45,110,60,0,0,195,335,0
0235.02,5395,55,765,3475,65,120,425,0,155,580,460,0
0236.01,6365,65,820,3630,410,225,545,0,320,620,660,0
0236.02,6005,60,915,4155,200,120,255,0,105,495,735,0
0237.01,6260,20,660,1875,665,395,1020,0,185,1300,700,60
0237.02,2940,0,305,2235,20,80,65,0,75,305,160,0
0237.03,5520,60,765,3095,205,390,325,0,310,685,245,0
0238.01,3355,20,515,2780,60,55,35,0,0,80,250,0
0238.02,5200,35,510,2760,255,400,165,0,425,815,390,0
0239.00,6565,0,840,3440,700,210,925,0,580,420,555,0
0240.01,3355,0,305,2900,25,75,0,0,20,80,260,0
0240.02,5160,0,485,4065,45,320,155,0,240,145,200,0
0241.00,2855,15,180,2305,65,70,0,0,55,205,135,0
0242.00,1685,35,170,805,355,25,425,0,65,0,45,0
0243.01,6460,0,430,1100,255,135,2130,0,290,2190,425,45
0243.02,3400,30,265,1875,215,160,270,0,120,550,305,0
0244.01,5795,55,680,2650,380,445,550,0,495,575,765,0
0244.02,3745,120,380,1080,655,385,555,0,55,320,550,0
